# ev x0 y0 z0 xf yf zf 
0 -0.147158 -0.0849318 -0.25 -0.0877706 -0.104929 0.359978
1 0.0896055 -0.058919 -0.25 0.115701 -0.0941277 0.359997
2 0.0852567 0.07861 -0.25 0.0760492 0.106644 0.359999
3 0.028447 0.150692 -0.25 0.0321171 0.167522 -0.149999
4 -0.13134 0.236529 -0.25 -0.175266 0.257816 -0.149985
5 0.155705 0.0653572 -0.25 0.129874 0.00585566 0.356865
6 0.0673098 -0.213138 -0.25 0.0595937 -0.21773 -0.149999
7 -0.139723 -0.17831 -0.25 -0.153344 -0.19381 -0.149979
8 -0.00624444 -0.150893 -0.25 -0.0515964 -0.119588 0.359998
9 0.223678 -0.126551 -0.25 0.135298 -0.1132 -0.149998
10 0.0581652 -0.0489069 -0.25 -0.0864761 -0.114292 0.5
11 -0.174863 0.124967 -0.25 -0.164434 0.0727287 -0.149991
12 -0.0604706 0.196152 -0.25 -0.0338809 0.195228 -0.149994
13 0.103963 -0.154662 -0.25 0.107708 -0.0763413 0.359968
14 -0.091235 -0.191189 -0.25 -0.0274326 -0.222312 -0.149994
15 -0.178393 0.0116068 -0.25 -0.192861 -0.0166588 -0.149995
16 -0.0261204 0.161213 -0.25 0.00656246 0.152912 0.359989
17 0.202688 -0.190864 -0.25 0.178801 -0.222824 -0.149999
18 -0.0101771 -0.0188652 -0.25 -0.0420835 -0.1311 0.359997
19 0.209829 0.108483 -0.25 0.188655 0.0857326 -0.149999
20 -0.0323362 0.115533 -0.25 0.122153 0.0491151 0.35999
21 -0.0761602 -0.215026 -0.25 -0.123364 -0.257242 -0.149996
22 0.152396 0.0341171 -0.25 0.139329 0.0404424 0.359995
23 -0.143337 -0.103849 -0.25 -0.14786 -0.133812 -0.149991
24 0.133224 -0.169659 -0.25 0.124409 -0.170669 -0.149994
25 0.0196004 -0.0586109 -0.25 0.0986026 -0.115431 0.359993
26 0.0314343 0.0947369 -0.25 -0.000542384 0.137599 0.359999
27 -0.183644 0.220964 -0.25 -0.199678 0.271493 -0.149999
28 0.0408887 0.170319 -0.25 0.0329515 0.152311 -0.149994
29 -0.183699 0.199654 -0.25 -0.184126 0.215806 -0.15
30 0.22913 -0.112091 -0.25 0.257317 -0.0817836 -0.149989
31 -0.0387395 -0.04699 -0.25 -0.102969 -0.178693 0.359976
32 -0.200878 -0.0860516 -0.25 -0.247944 -0.0747532 -0.149977
33 0.0121462 0.0389447 -0.25 -0.00665783 0.0749542 0.5
34 0.145083 -0.0280252 -0.25 0.162822 -0.0484714 0.5
35 -0.102573 -0.137253 -0.25 -0.109118 -0.169026 -0.149998
36 -0.162492 0.071267 -0.25 -0.145193 0.0371076 -0.149984
37 -0.102279 0.239904 -0.25 -0.0783735 0.24282 -0.15
38 -0.144616 0.00438376 -0.25 -0.140647 -0.00359663 0.359997
39 -0.113945 0.238608 -0.25 -0.0784348 0.23734 -0.149983
40 0.084725 0.155655 -0.25 0.0574082 0.154497 0.359997
41 -0.0700029 -0.133841 -0.25 -0.100516 -0.0824439 0.359906
42 0.000392047 -0.00364726 -0.25 -0.00173738 0.045558 0.5
43 -0.162877 -0.208719 -0.25 -0.14083 -0.22423 -0.149996
44 -0.0833282 -0.0965757 -0.25 -0.10471 -0.0772156 0.359998
45 0.240934 -0.104198 -0.25 0.26266 -0.135061 -0.149998
46 0.0413331 -0.0478051 -0.25 0.0661021 -0.159136 0.359999
47 0.0988122 0.0904548 -0.25 0.114612 0.0979818 0.359984
48 0.116143 -0.139042 -0.25 0.0809793 -0.140264 -0.15
49 -0.120601 0.0112265 -0.25 -0.12348 0.0499807 0.359998
50 0.0829332 0.0268267 -0.25 -0.0082251 -0.0176351 0.5
51 0.123974 0.170441 -0.25 0.0841679 0.20541 -0.149988
52 -0.151906 -0.228306 -0.25 -0.137727 -0.267857 -0.149999
53 0.160345 -0.0465221 -0.25 0.160294 -0.0999961 -0.149987
54 0.0260779 -0.203601 -0.25 0.039105 -0.217654 -0.149997
55 -0.057914 -0.139197 -0.25 -0.114266 -0.115312 0.359995
56 0.202055 0.122083 -0.25 0.242067 0.117351 -0.149997
57 -0.0230379 -0.0475534 -0.25 -0.134903 0.0299373 0.36
58 -0.131564 0.0640851 -0.25 -0.132234 0.0138089 0.36
59 -0.00627273 0.0351076 -0.25 0.129135 0.0144993 0.5
60 0.217509 -0.0153383 -0.25 0.222455 -0.0262739 -0.149978
61 0.18091 0.00884248 -0.25 0.162868 0.0191788 -0.15
62 0.186857 0.029722 -0.25 0.184257 0.0207415 -0.149996
63 -0.150703 0.0529999 -0.25 -0.0479465 0.149952 0.359972
64 0.14068 -0.0213032 -0.25 0.134536 0.0173815 0.359999
65 -0.185774 -0.0263864 -0.25 -0.13647 0.00354451 -0.15
66 -0.244476 0.1882 -0.25 -0.239056 0.167692 -0.149999
67 -0.105945 -0.146383 -0.25 -0.114685 -0.171859 -0.149999
68 0.209894 -0.195601 -0.25 0.277728 -0.182243 -0.149991
69 0.0570952 -0.014028 -0.25 0.110557 0.148585 0.5
70 -0.149201 0.249181 -0.25 -0.12193 0.250839 -0.160252
71 0.0967748 -0.197147 -0.25 0.0703771 -0.195757 -0.149992
72 0.121264 -0.176263 -0.25 0.168672 -0.194916 -0.15
73 0.00529974 0.2397 -0.25 -0.0502252 0.251458 -0.149998
74 0.137822 0.249027 -0.25 0.13711 0.258793 -0.15
75 0.0248076 0.105331 -0.25 0.192323 0.105983 0.359989
76 -0.0163113 -0.0442826 -0.25 0.101274 0.0656195 0.5
77 -0.135826 -0.0794547 -0.25 -0.135796 -0.0266624 0.359997
78 0.235439 -0.0365288 -0.25 0.223585 -0.0402849 -0.149992
79 0.223545 0.12612 -0.25 0.276249 0.168021 -0.149996
80 0.192168 -0.212228 -0.25 0.195689 -0.179735 -0.149984
81 -0.150267 0.197692 -0.25 -0.169999 0.180915 -0.15
82 0.225972 -0.00621206 -0.25 0.195139 -0.0263088 -0.149993
83 -0.198691 0.185866 -0.25 -0.176022 0.118455 -0.149995
84 0.0481872 0.108404 -0.25 -0.209546 0.0885353 0.5
85 -0.0781623 0.148986 -0.25 -0.0471457 0.187256 -0.149985
86 0.107585 -0.231387 -0.25 0.0372461 -0.255241 -0.149997
87 0.201839 -0.0211505 -0.25 0.243862 -0.00723025 -0.149999
88 -0.157651 -0.0428612 -0.25 -0.10818 -0.0720938 0.353464
89 -0.0314505 0.230172 -0.25 -0.000465234 0.25127 -0.149997
90 -0.0438342 0.243357 -0.25 -0.0440918 0.29114 -0.149988
91 0.085503 0.189855 -0.25 0.0922538 0.20287 -0.149995
92 -0.0509254 0.199677 -0.25 -0.0400564 0.234659 -0.149998
93 -0.1396 -0.0654861 -0.25 -0.132032 0.09137 0.359995
94 -0.0868518 -0.166055 -0.25 -0.0935334 -0.136183 -0.149998
95 -0.189366 -0.144684 -0.25 -0.19922 -0.142148 -0.149998
96 -0.128283 -0.089633 -0.25 -0.189739 -0.0914311 -0.149991
97 -0.196992 -0.152312 -0.25 -0.225452 -0.151792 -0.149977
98 0.154155 -0.145683 -0.25 0.148895 -0.151676 -0.149994
99 -0.216446 -0.0476578 -0.25 -0.223841 -0.0804683 -0.15
100 0.212721 -0.0446083 -0.25 0.259343 -0.0483781 -0.149998
101 -0.148672 0.0703059 -0.25 -0.131978 -0.00206461 0.359996
102 -0.0259958 -0.196833 -0.25 -0.0107428 -0.167742 -0.15
103 -0.200845 0.0663537 -0.25 -0.189105 0.100271 -0.149973
104 0.010306 0.0177049 -0.25 0.0528995 0.121559 0.5
105 0.0465252 0.216472 -0.25 0.0540824 0.263812 -0.149997
106 0.0110621 -0.117972 -0.25 0.0515559 -0.125413 0.36
107 0.156326 0.210137 -0.25 0.147219 0.217696 -0.14999
108 -0.168295 -0.233274 -0.25 -0.140996 -0.272132 -0.149989
109 -0.105349 -0.00514671 -0.25 -0.128586 0.0215495 0.359991
110 -0.149329 -0.0447157 -0.25 -0.154015 0.0155045 -0.149998
111 0.100169 -0.0276121 -0.25 0.129493 -0.0114791 0.359257
112 0.115651 0.153177 -0.25 0.0973099 0.163138 -0.149987
113 0.0700762 0.0198062 -0.25 0.112865 0.218515 0.5
114 -0.242506 0.10363 -0.25 -0.265025 0.132408 -0.15
115 0.222148 0.220214 -0.25 0.225466 0.233796 -0.149989
116 -0.190978 -0.176524 -0.25 -0.206928 -0.186555 -0.15
117 0.0405202 0.0330262 -0.25 0.196197 -0.0617349 0.359999
118 -0.123356 0.0896756 -0.25 -0.110158 0.154968 0.36
119 -0.15062 0.13695 -0.25 -0.127283 0.102221 -0.149997
120 -0.142619 0.145905 -0.25 -0.114188 0.0621414 0.346529
121 0.103421 0.118443 -0.25 0.139976 0.0868293 -0.149999
122 -0.222067 0.00974776 -0.25 -0.197604 0.0166339 -0.15
123 0.0785792 -0.140362 -0.25 0.0624231 -0.128207 0.359995
124 0.0264739 0.22323 -0.25 0.0299907 0.226468 -0.15
125 0.104492 0.127145 -0.25 0.109458 0.149336 -0.149991
126 -0.0714859 -0.0453389 -0.25 -0.183597 -0.130018 0.359988
127 -0.150467 -0.205835 -0.25 -0.170502 -0.213821 -0.149999
128 -0.142162 0.169609 -0.25 -0.148599 0.164292 -0.149981
129 0.0639717 -0.134668 -0.25 0.116037 -0.0946554 0.359985
130 0.0232394 0.0361201 -0.25 -0.0332627 0.206291 0.5
131 -0.164454 0.0822613 -0.25 -0.202425 0.0337962 -0.149978
132 0.109597 0.126067 -0.25 0.133056 0.0397175 0.359999
133 -0.134712 0.23624 -0.25 -0.180066 0.270972 -0.149989
134 -0.0342577 -0.0353326 -0.25 -0.0455371 0.0115843 0.5
135 0.12319 0.0731228 -0.25 0.15587 0.0621259 -0.149988
136 -0.139428 -0.0233889 -0.25 -0.15538 0.00558107 0.359994
137 -0.0584347 -0.111494 -0.25 -0.0983477 -0.0992385 0.35999
138 0.236359 -0.229855 -0.25 0.195757 -0.243906 -0.149996
139 -0.00185613 0.0128328 -0.25 -0.0392397 0.0385091 0.5
140 0.243374 -0.147365 -0.25 0.261847 -0.101129 -0.149985
141 -0.110022 -0.0781114 -0.25 -0.139854 -0.0527486 0.36
142 0.0572965 -0.0104892 -0.25 -0.03039 -0.0414393 0.5
143 -0.033946 0.165135 -0.25 -0.00956134 0.129649 0.357222
144 -0.09088 -0.219974 -0.25 -0.0906993 -0.22492 -0.149997
145 -0.219533 0.182359 -0.25 -0.230631 0.202118 -0.15
146 0.0661457 -0.133987 -0.25 0.036805 -0.127263 0.36
147 0.0146208 -0.0742578 -0.25 0.0561953 -0.10466 0.5
148 0.24208 0.129908 -0.25 0.247632 0.15991 -0.15
149 -0.0880177 -0.0421779 -0.25 -0.155386 -0.052841 0.5
150 -0.155424 -0.214828 -0.25 -0.194049 -0.203602 -0.149997
151 -0.219055 -0.044852 -0.25 -0.170199 -0.0264409 -0.149999
152 0.0117832 -0.0274897 -0.25 0.132827 0.0229173 0.5
153 0.0936536 -0.00185791 -0.25 0.235737 0.107107 0.5
154 -0.00734516 -0.158203 -0.25 0.00871182 -0.206006 -0.149968
155 -0.239025 -0.0139707 -0.25 -0.249358 0.0371966 -0.14998
156 -0.0555671 -0.0990472 -0.25 -0.0288703 -0.060519 0.345185
157 0.157918 -0.248271 -0.25 0.179331 -0.245834 -0.149989
158 0.140464 -0.126028 -0.25 0.136267 -0.0976757 -0.149999
159 0.166864 -0.200416 -0.25 0.186227 -0.170654 -0.149997
160 -0.0960025 0.197331 -0.25 -0.103644 0.175264 -0.149999
161 0.231943 0.220143 -0.25 0.272377 0.226994 -0.15
162 -0.186656 -0.0034362 -0.25 -0.179411 -0.0527103 -0.149996
163 -0.104115 -0.194576 -0.25 -0.0891888 -0.164503 -0.149999
164 -0.123528 0.0578677 -0.25 -0.112544 0.0650743 0.353207
165 0.0132463 -0.0289523 -0.25 -0.283591 -0.0471777 0.359997
166 0.0930398 0.0441912 -0.25 0.079926 0.107774 0.36
167 0.176196 -0.145177 -0.25 0.232278 -0.126576 -0.149998
168 -0.233299 0.0198494 -0.25 -0.234853 0.00630679 -0.149999
169 0.102965 0.00935632 -0.25 0.133057 -0.0287235 0.359991
170 0.111647 0.11394 -0.25 0.111639 0.140328 -0.15
171 0.245386 -0.19392 -0.25 0.318253 -0.182668 -0.149988
172 -0.235107 0.153303 -0.25 -0.220873 0.169834 -0.149995
173 -0.192191 0.155356 -0.25 -0.123664 0.170925 -0.149993
174 -0.222725 0.224673 -0.25 -0.240142 0.299158 -0.149998
175 0.20494 -0.0687273 -0.25 0.242682 -0.0531518 -0.149997
176 0.172004 0.186883 -0.25 0.148074 0.233776 -0.149999
177 -0.0985841 0.235349 -0.25 -0.132081 0.253926 -0.149986
178 -0.0665532 0.0473012 -0.25 0.0360556 0.0276708 0.5
179 -0.209227 0.0599189 -0.25 -0.246211 0.133326 -0.149984
180 -0.144831 0.0540192 -0.25 -0.184145 0.0387176 -0.149995
181 -0.219033 0.198209 -0.25 -0.233125 0.179115 -0.149995
182 -0.15179 0.207162 -0.25 -0.147951 0.294104 -0.149989
183 -0.196968 -0.135088 -0.25 -0.210562 -0.139967 -0.149977
184 -0.0229882 0.155997 -0.25 -0.0229421 0.127961 0.359246
185 0.124268 -0.161341 -0.25 0.123525 -0.171459 -0.149999
186 0.0199367 0.119654 -0.25 0.00712256 0.129889 0.359999
187 -0.105262 0.0348294 -0.25 -0.166716 -0.0991562 0.5
188 0.0229573 -0.0474523 -0.25 -0.000342772 -0.0180103 0.5
189 -0.0598142 0.0502325 -0.25 -0.136935 0.126942 0.5
190 -0.0727788 -0.104874 -0.25 -0.0445275 -0.122706 0.359968
191 0.231505 -0.150774 -0.25 0.291143 -0.215565 -0.149997
192 -0.167991 -0.117079 -0.25 -0.19983 -0.106429 -0.149994
193 -0.165426 0.0154556 -0.25 -0.146251 0.00814363 -0.149989
194 0.180222 -0.124653 -0.25 0.169079 -0.160939 -0.149982
195 -0.174626 -0.214609 -0.25 -0.225052 -0.228443 -0.149995
196 0.179367 -0.143659 -0.25 0.187918 -0.16128 -0.15
197 0.2336 -0.222423 -0.25 0.228333 -0.254264 -0.149992
198 -0.186497 -0.213368 -0.25 -0.188717 -0.276327 -0.149993
199 -0.107511 0.0405153 -0.25 -0.114668 0.0612688 0.355746
200 0.192628 -0.233243 -0.25 0.173603 -0.23237 -0.149997
201 0.129174 -0.0374349 -0.25 0.130217 -0.0246652 0.359967
202 0.136411 -0.226088 -0.25 0.115579 -0.250007 -0.15
203 0.247395 -0.0906316 -0.25 0.264623 -0.0591327 -0.149985
204 -0.0235398 -0.0624196 -0.25 -0.110034 -0.0751085 0.359999
205 0.209601 0.153681 -0.25 0.24696 0.191765 -0.149991
206 0.0827061 0.191106 -0.25 0.052655 0.185619 -0.149998
207 -0.247093 0.164715 -0.25 -0.274459 0.192641 -0.149992
208 -0.175973 -0.162518 -0.25 -0.170485 -0.170493 -0.149981
209 -0.0698295 -0.245751 -0.25 -0.0615654 -0.244617 -0.149981
210 -0.0371711 0.00554499 -0.25 0.0274646 -0.0321893 0.5
211 -0.210359 -0.107804 -0.25 -0.209294 -0.130814 -0.149999
212 0.111886 -0.226759 -0.25 0.135838 -0.19007 -0.149999
213 -0.0802273 0.17539 -0.25 -0.074411 0.166881 -0.15
214 -0.190128 0.0622617 -0.25 -0.177312 0.12048 -0.149998
215 -0.0340952 -0.247499 -0.25 -0.0511772 -0.23158 -0.149999
216 0.079019 -0.154921 -0.25 0.029054 -0.201171 -0.149987
217 -0.0349342 -0.0345698 -0.25 -0.122386 -0.114679 0.5
218 -0.131009 -0.0375396 -0.25 -0.126509 -0.0386858 0.359977
219 0.124799 0.0954514 -0.25 0.0624363 0.11403 0.356587
220 0.150041 0.0843995 -0.25 0.196358 0.109817 -0.149988
221 -0.000867241 -0.0172531 -0.25 -0.0871992 -0.0488931 0.5
222 0.0255055 0.00203982 -0.25 0.122376 0.0532735 0.359996
223 -0.102538 0.0995326 -0.25 -0.105762 0.0755944 0.357871
224 0.0895214 0.0776323 -0.25 -0.00456732 -0.0509703 0.5
225 0.103782 -0.19765 -0.25 0.0989578 -0.174675 -0.149991
226 -0.166823 0.143423 -0.25 -0.158969 0.191583 -0.149996
227 -0.0554542 0.195063 -0.25 -0.0562911 0.220847 -0.149994
228 0.166663 0.114319 -0.25 0.197718 0.128241 -0.149999
229 0.120453 0.226535 -0.25 0.0588837 0.252695 -0.149992
230 -0.0734198 -0.163642 -0.25 -0.0319328 -0.199707 -0.149999
231 0.229036 -0.244401 -0.25 0.256335 -0.278957 -0.149997
232 -0.0685634 -0.0558983 -0.25 -0.120334 -0.209774 0.359958
233 -0.0289706 0.0504278 -0.25 0.10865 0.0662559 0.5
234 0.156562 -0.154172 -0.25 0.120973 -0.182635 -0.149993
235 -0.104121 0.0566028 -0.25 -0.173263 0.101443 0.359993
236 0.180227 0.145012 -0.25 0.186565 0.147613 -0.149987
237 -0.21065 -0.044267 -0.25 -0.214059 -0.128469 -0.15
238 -0.102948 -0.0631884 -0.25 -0.121906 0.0123985 0.5
239 -0.194734 0.236573 -0.25 -0.219032 0.276228 -0.149972
240 -0.235556 0.159048 -0.25 -0.285384 0.16977 -0.149999
241 -0.211077 -0.152379 -0.25 -0.198743 -0.130309 -0.149997
242 0.0524702 -0.0165307 -0.25 0.0225816 -0.121262 0.5
243 -0.207315 -0.0308667 -0.25 -0.20249 -0.0722796 -0.149994
244 -0.152212 0.163138 -0.25 -0.142598 0.190047 -0.15
245 -0.0543314 0.024368 -0.25 -0.0489074 0.0559908 0.5
246 0.249495 -0.0752954 -0.25 0.268029 -0.0985829 -0.149994
247 0.0299673 -0.069068 -0.25 0.0991757 0.0232759 0.5
248 0.118806 -0.249003 -0.25 0.144284 -0.215543 -0.149996
249 0.23136 0.0253684 -0.25 0.263388 -0.00838778 -0.15
250 -0.153175 -0.122761 -0.25 -0.158897 -0.13321 -0.149998
251 -0.168029 -0.222948 -0.25 -0.169767 -0.225788 -0.149999
252 -0.227749 -0.128679 -0.25 -0.267437 -0.126119 -0.149995
253 -0.0172148 -0.0806973 -0.25 0.0436288 -0.0716479 0.5
254 0.0581325 0.0380508 -0.25 0.133856 0.0462366 0.367463
255 -0.0941241 0.0725764 -0.25 -0.160215 0.0302739 0.359974
256 -0.0529016 -0.0552007 -0.25 -0.0148677 -0.161834 0.359987
257 0.170198 0.249569 -0.25 0.167534 0.274327 -0.149991
258 0.178269 0.212882 -0.25 0.202577 0.215184 -0.149997
259 -0.0312981 -0.223944 -0.25 -0.0182624 -0.236837 -0.14998
260 0.12602 0.164371 -0.25 0.174688 0.17005 -0.149986
261 0.0504244 0.125515 -0.25 -0.133527 0.0313811 0.5
262 -0.160925 -0.169608 -0.25 -0.157515 -0.140232 -0.149997
263 -0.193553 0.207881 -0.25 -0.201826 0.234904 -0.15
264 -0.168612 -0.212193 -0.25 -0.149807 -0.149558 -0.149984
265 -0.0167502 -0.0717869 -0.25 -0.153045 -0.161482 0.359962
266 -0.084954 0.065221 -0.25 -0.146554 0.0878074 0.359995
267 -0.0447348 -0.062703 -0.25 -0.0256796 -0.132482 0.359999
268 0.186542 0.18805 -0.25 0.169164 0.0887004 -0.149999
269 0.1066 -0.00532562 -0.25 0.110093 -0.164623 0.359962
270 -0.0238988 -0.237524 -0.25 -0.00387015 -0.237284 -0.149999
271 -0.182749 0.1732 -0.25 -0.171647 0.151704 -0.15
272 -0.0427251 0.237448 -0.25 0.00470218 0.268819 -0.14998
273 0.172768 -0.114457 -0.25 0.166268 -0.115554 -0.149996
274 0.200331 -0.10853 -0.25 0.180229 -0.0482619 -0.149999
275 -0.0884002 0.0763504 -0.25 -0.088472 0.0866316 0.5
276 -0.194159 0.212024 -0.25 -0.180266 0.23589 -0.149995
277 -0.0481345 -0.105084 -0.25 -0.0921094 -0.110901 0.359996
278 -0.207584 0.00831273 -0.25 -0.205329 -0.0222156 -0.149998
279 -0.147203 -0.126196 -0.25 -0.117292 -0.138095 -0.149987
280 0.0461197 0.0860471 -0.25 0.132847 0.0781997 0.359995
